image,distance_mm
img_000334.png,66.864182
img_000335.png,67.013750
img_000336.png,67.269088
img_000337.png,67.428394
img_000338.png,67.654061
img_000339.png,67.859116
img_000340.png,68.021471
img_000341.png,68.277913
img_000342.png,68.414272
img_000343.png,68.616917
img_000344.png,68.902606
img_000345.png,69.025355
img_000346.png,69.269129
img_000347.png,69.403119
img_000348.png,69.653736
img_000349.png,69.805172
img_000350.png,70.006995
img_000351.png,70.239911
img_000352.png,70.405606
img_000353.png,70.644371
img_000354.png,70.803474
img_000355.png,71.005077
img_000356.png,71.254665
img_000357.png,71.406160
img_000358.png,71.654183
img_000359.png,71.831183
img_000360.png,72.019395
img_000361.png,72.237939
img_000362.png,72.402533
img_000363.png,72.646310
img_000364.png,72.901098
img_000365.png,73.080741
img_000366.png,73.264300
img_000367.png,73.481210
img_000368.png,73.648562
img_000369.png,73.891337
img_000370.png,74.039064
img_000371.png,74.254771
img_000372.png,74.405431
img_000373.png,74.642707
img_000374.png,74.803013
img_000375.png,75.010108
img_000376.png,75.241511
img_000377.png,75.406164
img_000378.png,75.650844
img_000379.png,75.803200
img_000380.png,76.007627
img_000381.png,76.221982
img_000382.png,76.404707
img_000383.png,76.644665
img_000384.png,76.801509
img_000385.png,77.030677
img_000386.png,77.209565
img_000387.png,77.405826
img_000388.png,77.619763
img_000389.png,77.882732
img_000390.png,78.017732
img_000391.png,78.271869
img_000392.png,78.425338
img_000393.png,78.652312
img_000394.png,78.813009
img_000395.png,79.028948
img_000396.png,79.201642
img_000397.png,79.400617
img_000398.png,79.614652
img_000399.png,79.907870
img_000400.png,80.080119
img_000401.png,80.253851
img_000402.png,80.405143
img_000403.png,80.659738
img_000404.png,80.800013
img_000405.png,81.006170
img_000406.png,81.257417
img_000407.png,81.490041
img_000408.png,81.653779
img_000409.png,81.819655
img_000410.png,82.006781
img_000411.png,82.259124
img_000412.png,82.401519
img_000413.png,82.660957
img_000414.png,82.896335
img_000415.png,83.057714
img_000416.png,83.263798
